Folder,File Name,Class Name,Class Parameters (Inheritance),Class Responsibility / Purpose,Dependencies (General)
src\drawing_intelligence\models/,data_structures.py,TitleBlock,None,Structured title block data.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ExtractionStats,None,Statistics about entity extraction.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,EntityExtractionResult,None,Complete entity extraction result.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,Detection,None,Single shape detection.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,DetectionSummary,None,Summary statistics for shape detections.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,DetectionResult,None,Complete shape detection result.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,Association,None,Text-to-shape association.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ViewGroup,None,Multi-view component grouping.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,DimensionLink,None,Dimension-to-shape feature link.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,Assembly,None,Component assembly relationship.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ComponentHierarchy,None,Assembly hierarchy structure.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ValidationIssue,None,Single validation issue.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ValidationReport,None,Data validation report.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ReviewFlag,None,Flag for human review.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,CompletenessScore,None,Data completeness assessment.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,TokenUsage,None,LLM token usage tracking.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,LLMUsageRecord,None,Single LLM usage record.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,DrawingAssessment,None,Drawing quality assessment from LLM.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,OCRVerification,None,OCR verification result from LLM.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ProcessingResult,None,Complete result from processing pipeline.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,ConfidenceScores,None,Multi-dimensional confidence scores for routing decisions.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,DrawingRecord,None,Complete drawing record from database.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,DatabaseStats,None,Database statistics.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,AuditEntry,None,Processing audit entry.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,DailyCost,None,Daily cost entry.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,TokenUsageSummary,None,Token usage statistics.,N/A (See Imports)
src\drawing_intelligence\models/,data_structures.py,CostReport,None,Comprehensive cost report.,N/A (See Imports)
src\drawing_intelligence\models/,model_registry.py,ModelProvider,Inherits: Enum,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\models/,model_registry.py,ModelTier,Inherits: Enum,Model cost tiers for budget step-down,N/A (See Imports)
src\drawing_intelligence\models/,model_registry.py,ModelSpec,None,Complete specification for an LLM model,N/A (See Imports)
src\drawing_intelligence\models/,model_registry.py,ModelRegistry,None,Central registry of all supported models,N/A (See Imports)
src\drawing_intelligence\orchestration/,checkpoint_manager.py,ProcessingStage,Inherits: Enum,Processing stages for intra-drawing checkpoints,N/A (See Imports)
src\drawing_intelligence\orchestration/,checkpoint_manager.py,IntraDrawingCheckpoint,None,Checkpoint for a single drawing's processing state,N/A (See Imports)
src\drawing_intelligence\orchestration/,checkpoint_manager.py,BatchCheckpoint,None,Checkpoint for batch processing state,N/A (See Imports)
src\drawing_intelligence\orchestration/,checkpoint_manager.py,CheckpointManager,None,Manages both intra-drawing and batch-level checkpoints,N/A (See Imports)
src\drawing_intelligence\orchestration/,pipeline_orchestrator.py,StageResult,None,Result from a single processing stage.,N/A (See Imports)
src\drawing_intelligence\orchestration/,pipeline_orchestrator.py,BatchResult,None,Result from batch processing.,N/A (See Imports)
src\drawing_intelligence\orchestration/,pipeline_orchestrator.py,PipelineOrchestrator,None,Manages end-to-end workflow execution.,N/A (See Imports)
src\drawing_intelligence\orchestration/,pipeline_orchestrator.py,InitialResult,None,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,PipelineType,Inherits: Enum,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,ProcessingStage,Inherits: Enum,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,Priority,Inherits: Enum,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,ConfidenceScores,None,Multi-dimensional confidence assessment,N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,ProcessingRoute,None,Decision on which pipeline to use,N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,Entity,None,Simplified entity for routing decision,N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,Detection,None,Simplified detection for routing decision,N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,ProcessingResult,None,Baseline processing result for routing evaluation,N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,RoutingEngine,None,Intelligent routing between baseline and LLM-enhanced pipelines,N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,MockDrawing,None,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\orchestration/,routing_engine.py,MockBudget,None,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\orchestration/,workflow_state.py,WorkflowState,None,Manages the state of a drawing's processing pipeline.,N/A (See Imports)
src\drawing_intelligence\processing/,data_associator.py,AssociationConfig,None,Configuration for data association.,N/A (See Imports)
src\drawing_intelligence\processing/,data_associator.py,DataAssociator,None,Link text annotations to detected shapes.,N/A (See Imports)
src\drawing_intelligence\processing/,data_validator.py,ValidationConfig,None,Configuration for data validation.,N/A (See Imports)
src\drawing_intelligence\processing/,data_validator.py,DataValidator,None,Validate consistency across all extraction layers.,N/A (See Imports)
src\drawing_intelligence\processing/,entity_extractor.py,EntityConfig,None,Configuration for entity extraction.,N/A (See Imports)
src\drawing_intelligence\processing/,entity_extractor.py,EntityExtractor,None,Extract structured entities from OCR text.,N/A (See Imports)
src\drawing_intelligence\processing/,hierarchy_builder.py,HierarchyBuilder,None,Build component hierarchy from detected shapes.,N/A (See Imports)
src\drawing_intelligence\processing/,image_preprocessor.py,PreprocessConfig,None,Configuration for image preprocessing.,N/A (See Imports)
src\drawing_intelligence\processing/,image_preprocessor.py,ImagePreprocessor,None,Enhance image quality for OCR and shape detection.,N/A (See Imports)
src\drawing_intelligence\processing/,ocr_pipeline.py,OCRConfig,None,Configuration for OCR pipeline.,N/A (See Imports)
src\drawing_intelligence\processing/,ocr_pipeline.py,OCRPipeline,None,Extract text from images using dual OCR engines.,N/A (See Imports)
src\drawing_intelligence\processing/,pdf_processor.py,PDFConfig,None,Configuration for PDF processing.,N/A (See Imports)
src\drawing_intelligence\processing/,pdf_processor.py,PDFProcessor,None,Extract pages and embedded text from PDF files.,N/A (See Imports)
src\drawing_intelligence\processing/,shape_detector.py,DetectionConfig,None,Configuration for shape detection.,N/A (See Imports)
src\drawing_intelligence\processing/,shape_detector.py,ShapeDetector,None,Detect and classify component shapes using YOLOv8.,N/A (See Imports)
src\drawing_intelligence\quality/,quality_scorer.py,QualityConfig,None,Configuration for quality scoring.,N/A (See Imports)
src\drawing_intelligence\quality/,quality_scorer.py,QualityScorer,None,Calculate confidence scores and generate review flags.,N/A (See Imports)
src\drawing_intelligence\utils/,config_loader.py,SystemConfig,None,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\utils/,config_loader.py,Config,None,N/A (Missing Docstring),N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,DrawingProcessingError,Inherits: Exception,Base exception for drawing processing errors.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,PDFProcessingError,Inherits: DrawingProcessingError,Exception for PDF-specific processing errors.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,OCRError,Inherits: DrawingProcessingError,Exception for OCR-specific errors.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,ShapeDetectionError,Inherits: DrawingProcessingError,Exception for shape detection errors.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,LLMAPIError,Inherits: DrawingProcessingError,Exception for LLM API call errors.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,BudgetExceededException,Inherits: DrawingProcessingError,Exception for budget limit exceeded.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,DatabaseError,Inherits: DrawingProcessingError,Exception for database operation errors.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,ConfigurationError,Inherits: DrawingProcessingError,Exception for configuration errors.,N/A (See Imports)
src\drawing_intelligence\utils/,error_handlers.py,ValidationError,Inherits: DrawingProcessingError,Exception for data validation errors.,N/A (See Imports)
src\drawing_intelligence\utils/,geometry_utils.py,BoundingBox,None,Bounding box with integer pixel coordinates.,N/A (See Imports)
src\drawing_intelligence\utils/,geometry_utils.py,NormalizedBBox,None,"Normalized bounding box with coordinates in [0, 1] range.",N/A (See Imports)
src\drawing_intelligence\llm\providers/,anthropic_provider.py,AnthropicProvider,Inherits: LLMProvider,Provider for Anthropic (Claude) API.,N/A (See Imports)
src\drawing_intelligence\llm\providers/,base_provider.py,LLMResponse,None,Standardized LLM response.,N/A (See Imports)
src\drawing_intelligence\llm\providers/,base_provider.py,TokenUsage,None,Token usage tracking.,N/A (See Imports)
src\drawing_intelligence\llm\providers/,base_provider.py,LLMProvider,Inherits: ABC,Abstract base class for LLM providers.,N/A (See Imports)
src\drawing_intelligence\llm\providers/,google_provider.py,GoogleProvider,Inherits: LLMProvider,Google AI (Gemini) API provider implementation.,N/A (See Imports)
src\drawing_intelligence\llm\providers/,openai_provider.py,OpenAIProvider,Inherits: LLMProvider,OpenAI API provider implementation.,N/A (See Imports)
tests\fixtures/,test_data_generator.py,TestDataGenerator,None,Generate test data for unit tests.,N/A (See Imports)
tests\integration/,test_batch_processing.py,TestBatchProcessing,None,Test batch processing functionality.,N/A (See Imports)
tests\integration/,test_complete_pipeline.py,TestCompletePipeline,None,Test complete processing pipeline.,N/A (See Imports)
tests\integration/,test_complete_pipeline.py,TestBatchProcessing,None,Test batch processing functionality.,N/A (See Imports)
tests\integration/,test_complete_pipeline.py,TestDatabaseIntegration,None,Test database integration.,N/A (See Imports)
tests\integration/,test_database_integration.py,TestDatabaseIntegration,None,Test database integration.,N/A (See Imports)
tests\integration/,test_llm_integration.py,TestLLMIntegration,None,Test LLM integration.,N/A (See Imports)
tests\performance/,benchmark_pipeline.py,BenchmarkResult,None,Result from a benchmark run.,N/A (See Imports)
tests\performance/,benchmark_pipeline.py,PipelineBenchmark,None,Benchmark pipeline performance.,N/A (See Imports)
tests\performance/,test_performance.py,TestPerformance,None,Performance tests.,N/A (See Imports)
tests\unit/,test_data_associator.py,TestDataAssociator,None,Test DataAssociator class.,N/A (See Imports)
tests\unit/,test_entity_extractor.py,TestEntityExtractor,None,Test EntityExtractor class.,N/A (See Imports)
tests\unit/,test_export_manager.py,TestExportManager,None,Test ExportManager class.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestEnsureDirectory,None,Tests for ensure_directory function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestGetFileHash,None,Tests for get_file_hash function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestGetFileSize,None,Tests for get_file_size_mb function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestListFiles,None,Tests for list_files function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestSafeFilename,None,Tests for safe_filename function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestGenerateUniqueId,None,Tests for generate_unique_id function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestCopyFileWithBackup,None,Tests for copy_file_with_backup function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestAtomicWrite,None,Tests for atomic_write function.,N/A (See Imports)
tests\unit/,test_file_utils.py,TestGetAvailableDiskSpace,None,Tests for get_available_disk_space function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestBoundingBox,None,Tests for BoundingBox class.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestCalculateIoU,None,Tests for calculate_iou function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestCalculateDistance,None,Tests for calculate_distance function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestBboxContains,None,Tests for bbox_contains function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestBboxOverlaps,None,Tests for bbox_overlaps function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestExpandBbox,None,Tests for expand_bbox function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestMergeBboxes,None,Tests for merge_bboxes function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestNormalizeDenormalizeBbox,None,Tests for normalize_bbox and denormalize_bbox functions.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestClipBboxToImage,None,Tests for clip_bbox_to_image function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestCalculateAspectRatio,None,Tests for calculate_aspect_ratio function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestPointInBbox,None,Tests for point_in_bbox function.,N/A (See Imports)
tests\unit/,test_geometry_utils.py,TestScaleBbox,None,Tests for scale_bbox function.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestTextNormalization,None,Test text normalization functions.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestNumberExtraction,None,Test number extraction functions.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestDimensionParsing,None,Test dimension value extraction.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestUnitConversion,None,Test unit conversion functions.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestToleranceParsing,None,Test tolerance parsing.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestPartNumberExtraction,None,Test part number extraction.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestOCRCleaning,None,Test OCR text cleaning.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestFuzzyMatching,None,Test fuzzy string matching.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestComplexScenarios,None,Test complex real-world scenarios.,N/A (See Imports)
tests\unit/,test_image_utils.py,TestEdgeCases,None,Test edge cases and error handling.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestOCRPipelineInitialization,None,Test OCR pipeline initialization.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestPrimaryOCRExtraction,None,Test primary OCR engine (PaddleOCR) extraction.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestFallbackOCR,None,Test fallback OCR engine (EasyOCR) functionality.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestLayoutAnalysis,None,Test layout region detection.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestLanguageDetection,None,Test language detection functionality.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestConfidenceCalculation,None,Test confidence scoring.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestErrorHandling,None,Test error handling and recovery.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestTextBlockCreation,None,Test text block creation and properties.,N/A (See Imports)
tests\unit/,test_ocr_pipeline.py,TestFullTextGeneration,None,Test full text concatenation.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestPDFProcessorInitialization,None,Test PDF processor initialization.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestPDFValidation,None,Test PDF file validation.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestPDFExtraction,None,Test PDF page extraction.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestTextBlockExtraction,None,Test embedded text extraction.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestCoordinateConversion,None,Test PDF to pixel coordinate conversion.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestGetPDFMetadata,None,Test PDF metadata extraction.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestErrorHandling,None,Test error handling.,N/A (See Imports)
tests\unit/,test_pdf_processor.py,TestConfigurationOptions,None,Test different configuration options.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestQualityScorerInitialization,None,Test quality scorer initialization.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestConfidenceCalculation,None,Test overall confidence calculation.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestReviewFlagGeneration,None,Test review flag generation.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestCompletenessScore,None,Test completeness scoring.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestReviewDecision,None,Test review decision logic.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestCriticalEntityChecks,None,Test critical entity checking.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestEdgeCases,None,Test edge cases and error handling.,N/A (See Imports)
tests\unit/,test_quality_scorer.py,TestConfigurationOptions,None,Test different configuration options.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestShapeDetectorInitialization,None,Test shape detector initialization.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestSingleImageDetection,None,Test detection on single images.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestBatchDetection,None,Test batch processing functionality.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestConfidenceFiltering,None,Test confidence-based filtering.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestNMS,None,Test Non-Maximum Suppression.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestBboxNormalization,None,Test bounding box normalization.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestComponentClasses,None,Test different component class detections.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestDetectionSummary,None,Test detection summary generation.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestDeviceHandling,None,Test GPU/CPU device handling.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestInferenceTime,None,Test inference time tracking.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestErrorHandling,None,Test error handling and recovery.,N/A (See Imports)
tests\unit/,test_shape_detector.py,TestModelInfo,None,Test model information retrieval.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestTextNormalization,None,Test text normalization functions.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestNumberExtraction,None,Test number extraction functions.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestDimensionParsing,None,Test dimension value extraction.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestUnitConversion,None,Test unit conversion functions.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestToleranceParsing,None,Test tolerance parsing.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestPartNumberExtraction,None,Test part number extraction.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestOCRCleaning,None,Test OCR text cleaning.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestFuzzyMatching,None,Test fuzzy string matching.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestComplexScenarios,None,Test complex real-world scenarios.,N/A (See Imports)
tests\unit/,test_text_utils.py,TestEdgeCases,None,Test edge cases and error handling.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestPDFValidation,None,Test PDF file validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestImageValidation,None,Test image array validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestBboxValidation,None,Test bounding box validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestConfidenceValidation,None,Test confidence score validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestEntityTypeValidation,None,Test entity type validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestAPIKeyValidation,None,Test API key validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestDrawingIDValidation,None,Test drawing ID validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestFileSizeValidation,None,Test file size validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestModelPathValidation,None,Test model path validation.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestComplexValidations,None,Test complex validation scenarios.,N/A (See Imports)
tests\unit/,test_validation_utils.py,TestEdgeCases,None,Test edge cases and error handling.,N/A (See Imports)
tests\utils/,test_helpers.py,MockLLMGateway,None,Mock LLM Gateway for testing.,N/A (See Imports)
tests\utils/,test_helpers.py,PerformanceTimer,None,Context manager for timing operations.,N/A (See Imports)
